Row,Set_1,Set_2,Set_3,Set_4
507,3.381728731,-2.402563301,3.680544779,-2.773425254
508,1.622512019,-3.879371468,2.696996717,-2.571658976
509,1.952672237,-4.006662192,1.002564304,-4.33133511
510,2.531107827,-2.484783185,2.43303841,-2.982767793
511,4.088871459,-1.106108391,3.874041015,-2.248359694
512,2.216122798,-3.419064638,1.248638747,-4.47098658
513,3.735264102,-2.145839802,4.125680868,-2.310847671
514,1.945010324,-3.965387464,1.947294003,-3.917188048
515,4.154851694,-1.970815625,4.758545207,-2.167136548
516,1.740470088,-3.557390129,3.184177713,-3.30358415
517,2.739218449,-2.279022878,2.593962265,-2.783690788
518,4.125330921,-2.216567401,2.730317119,-3.764471099
519,3.407506267,-2.78171703,1.163416107,-1.639976268
520,3.078511216,-1.483326994,3.47939106,-3.098429748
521,1.659776423,-4.194818959,2.45688776,-4.425549156
522,3.543763686,-1.970972147,3.590899036,-3.862697331
523,1.723686227,-2.194289541,3.021133703,-2.704295607
524,2.058267481,-3.652345769,1.888986829,-1.824272812
525,2.890650484,-3.12097675,2.244654445,-3.919030318
526,4.255874512,-2.583155103,3.510469028,-2.423481976
527,2.675725243,-3.127891529,1.703965424,-3.767480739
528,2.937270924,-2.710671831,1.901187949,-2.912445931
529,1.131246665,-3.648120292,0.859500105,-4.380876056
530,3.019208197,-2.490765474,2.538066475,-2.024640268
531,1.418322755,-4.854305634,0.942693741,-3.941492428
532,3.148273269,-2.244126685,3.406264273,-3.469564388
533,3.694419797,-3.326076065,4.495284223,-2.500223227
534,2.327684239,-2.681163879,2.321582912,-3.510161137
535,2.650663475,-2.887539621,2.135627989,-2.912500061
536,2.760333244,-1.980086247,4.484746542,-1.989112351
537,2.23769348,-3.854904277,1.364504131,-4.094251882
538,2.581371278,-3.332121889,2.629421863,-3.942964427
539,2.942990297,-3.106192166,4.186487451,-3.399440111
540,2.313682972,-4.394534338,1.039068315,-5.241993945
541,3.700809803,-2.040686291,2.672624523,-3.146323637
542,2.626542223,-2.907374668,3.452719892,-3.721565138
543,4.739599181,-2.634659461,3.669080025,-1.351212817
544,1.831121396,-1.920579342,4.323673249,-0.902605668
545,2.347369597,-2.454705626,3.254656792,-2.135680329
546,5.578001636,-0.613430871,4.768124368,-0.942293944
547,2.388016725,-2.38911746,2.306058059,-3.206952892
548,0.666829469,-2.810994131,3.015436958,-3.224781436
549,1.9306595,-3.485623473,2.365527546,-3.035268683
550,2.339415,-3.668195585,4.146042131,-1.857640631
551,5.112392657,-1.139344481,3.677310675,-1.830532877
552,2.290037327,-2.31394291,1.591282842,-2.873679322
553,3.674571941,-2.121108173,3.839718153,-2.209808977
554,3.737173104,-2.267921471,2.45210252,-3.560683833
555,2.655909102,-4.804084035,1.006833142,-4.113398148
556,3.440514565,-0.593394643,3.511698087,-2.056036321
557,4.389052535,-3.298250059,2.310959609,-2.624082043
558,3.025767131,-2.731194376,3.697672737,-1.76437564
559,3.379311768,-4.327102962,2.61732651,-3.223610869
560,1.444734804,-3.085436471,2.097863343,-4.303291288
